,Unnamed: 0,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
1,1,10,0.0077299275589206,26,7,1,"[1.0806725025177002, 1.0006136894226074, 1.0004976987838745, 1.0007884502410889, 1.000413179397583, 1.0008127689361572, 1.000754475593567]","[0.7343741059303284, 0.7334562540054321, 0.7323610782623291, 0.7434874176979065, 0.7339417338371277, 0.7313266396522522, 0.7310793995857239]",0.7310793995857239,357.86213284998666,0
2,2,11,0.0001521088023578,40,17,2,"[0.31533145904541016, 0.2034199982881546, 0.15655116736888885, 0.13231609761714935, 0.1152178943157196, 0.10336751490831375, 0.09389636665582657, 0.08537744730710983, 0.07816155254840851, 0.07206910103559494, 0.06564343720674515, 0.05849109962582588, 0.05364862456917763, 0.04855453595519066, 0.043198443949222565, 0.04028094559907913, 0.0362025685608387]","[0.14078624546527863, 0.14578956365585327, 0.09620817750692368, 0.08386114239692688, 0.0799793154001236, 0.07864385098218918, 0.07398763298988342, 0.08650584518909454, 0.0713987946510315, 0.07200364023447037, 0.06870869547128677, 0.06739876419305801, 0.06911487132310867, 0.08351630717515945, 0.06776320189237595, 0.06958161294460297, 0.06792398542165756]",0.067398764193058,1056.0471140790032,0
3,3,12,0.0005460451179839,34,10,4,"[0.36861932277679443, 0.18478338420391083, 0.13580812513828278, 0.10019830614328384, 0.08205297589302063, 0.066623255610466, 0.054221078753471375, 0.04716126248240471, 0.039692096412181854, 0.035909540951251984]","[0.15236984193325043, 0.1039947122335434, 0.08766882121562958, 0.08200467377901077, 0.07056409120559692, 0.06295973062515259, 0.06765446811914444, 0.06118262559175491, 0.06010520085692406, 0.05166235938668251]",0.0516623593866825,701.7325870110653,0
2,2,13,2.242402411593976e-06,49,8,2,"[0.897468090057373, 0.6101068258285522, 0.4616854190826416, 0.38637781143188477, 0.3462299108505249, 0.32454708218574524, 0.312170147895813, 0.3044992685317993]","[0.5224491357803345, 0.35571062564849854, 0.279397577047348, 0.24227175116539001, 0.2233974039554596, 0.21028178930282593, 0.20317551493644714, 0.19886012375354767]",0.1988601237535476,484.31169955804944,0
2,2,14,1.0942766721398438e-06,59,17,4,"[0.9418143033981323, 0.8055393695831299, 0.6448062062263489, 0.5454180836677551, 0.4828609526157379, 0.43520405888557434, 0.39904168248176575, 0.37294745445251465, 0.3540074825286865, 0.340274453163147, 0.33038684725761414, 0.32274314761161804, 0.3170502483844757, 0.31226828694343567, 0.3083188533782959, 0.30504825711250305, 0.3021784722805023]","[0.6446383595466614, 0.5076498985290527, 0.406332403421402, 0.350262850522995, 0.30950239300727844, 0.28016605973243713, 0.25699010491371155, 0.24104511737823486, 0.22975511848926544, 0.22130954265594482, 0.21507662534713745, 0.21096810698509216, 0.20722074806690216, 0.20396004617214203, 0.20202068984508514, 0.19970566034317017, 0.19755320250988007]",0.19755320250988,1139.1552592589287,0
2,2,15,0.0007332058327555,26,5,1,"[0.30660873651504517, 0.1746339499950409, 0.13583187758922577, 0.11382851004600525, 0.09836751222610474]","[0.19017089903354645, 0.10173838585615158, 0.08617343008518219, 0.09701409190893173, 0.0931587964296341]",0.0861734300851821,257.14178611524403,0
3,3,16,0.0042721146047449,16,9,4,"[1.2016905546188354, 1.0004581212997437, 1.0004749298095703, 1.0006422996520996, 1.0004843473434448, 1.0006710290908813, 1.0006589889526367, 1.0005000829696655, 1.0006189346313477]","[0.7315253019332886, 0.7344266176223755, 0.7326082587242126, 0.7298036813735962, 0.7355502843856812, 0.7298451662063599, 0.7313786745071411, 0.728952169418335, 0.7312609553337097]",0.728952169418335,697.6538406703621,0
3,3,17,2.573856795754714e-05,63,7,3,"[0.4425773322582245, 0.297296404838562, 0.27297818660736084, 0.2531583309173584, 0.2362082302570343, 0.21939529478549957, 0.20702722668647766]","[0.20298372209072113, 0.181047260761261, 0.16783614456653595, 0.15895366668701172, 0.1446562558412552, 0.1377284824848175, 0.1318008303642273]",0.1318008303642273,447.3306880425662,0
4,4,18,7.910895251455854e-06,42,16,3,"[0.5800928473472595, 0.32633107900619507, 0.30247607827186584, 0.28995129466056824, 0.2796907424926758, 0.2710995674133301, 0.26266905665397644, 0.25565099716186523, 0.24889269471168518, 0.2422264963388443, 0.23648682236671448, 0.2313031554222107, 0.22598373889923096, 0.22054648399353027, 0.21582655608654022, 0.2109120786190033]","[0.23507380485534668, 0.2030794620513916, 0.19250522553920746, 0.18458625674247742, 0.17859265208244324, 0.17756906151771545, 0.16935038566589355, 0.16379685699939728, 0.16083167493343353, 0.15948908030986786, 0.1568237543106079, 0.151725172996521, 0.15091675519943237, 0.1518240123987198, 0.14526234567165375, 0.15154656767845154]",0.1452623456716537,1048.5770579660311,0
3,3,19,2.7097001281818545e-05,29,13,2,"[0.38752681016921997, 0.2825716435909271, 0.25372380018234253, 0.22944003343582153, 0.2098488062620163, 0.19526486098766327, 0.1832018494606018, 0.17300637066364288, 0.1641131341457367, 0.1569129228591919, 0.15005843341350555, 0.14277172088623047, 0.1377270668745041]","[0.1932733952999115, 0.1777314692735672, 0.15983343124389648, 0.14242592453956604, 0.14480167627334595, 0.1231086328625679, 0.15066973865032196, 0.12547945976257324, 0.10744518041610718, 0.10557062178850174, 0.10153544694185257, 0.09629273414611816, 0.09732822328805923]",0.0962927341461181,842.5031955479644,0
