,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,1,0.00029437248828884647,31,5,1,"[0.2889443039894104, 0.1757896989583969, 0.1401616781949997, 0.12013392895460129, 0.10913016647100449]","[0.11914173513650894, 0.12966564297676086, 0.09554263949394226, 0.08647432178258896, 0.08333694934844971]",0.08333694934844971,251.9067894750042,0
1,5,0.0011007900793323746,54,12,2,"[0.4234524667263031, 0.25419870018959045, 0.16324681043624878, 0.13882017135620117, 0.11002076417207718, 0.09716567397117615, 0.08916255086660385, 0.07994773983955383, 0.07079365104436874, 0.06462932378053665, 0.05964117869734764, 0.05459527298808098]","[0.21976104378700256, 0.14594003558158875, 0.18910068273544312, 0.09227199852466583, 0.10825743526220322, 0.07617326825857162, 0.06349478662014008, 0.06450887769460678, 0.07437330484390259, 0.05457133427262306, 0.0644388347864151, 0.061007656157016754]",0.05457133427262306,722.9024658950511,0
2,8,8.800281910108358e-05,24,6,3,"[0.3100966811180115, 0.2105254828929901, 0.163824200630188, 0.13440275192260742, 0.11769196391105652, 0.10363070666790009]","[0.1539737433195114, 0.36594435572624207, 0.10663723945617676, 0.10913360863924026, 0.09588640183210373, 0.08451463282108307]",0.08451463282108307,420.3363331820583,0
3,12,0.0005460451179839418,34,10,4,"[0.36861932277679443, 0.18478338420391083, 0.13580812513828278, 0.10019830614328384, 0.08205297589302063, 0.066623255610466, 0.054221078753471375, 0.04716126248240471, 0.039692096412181854, 0.035909540951251984]","[0.15236984193325043, 0.1039947122335434, 0.08766882121562958, 0.08200467377901077, 0.07056409120559692, 0.06295973062515259, 0.06765446811914444, 0.06118262559175491, 0.06010520085692406, 0.05166235938668251]",0.05166235938668251,701.7325870110653,0
4,18,7.910895251455854e-06,42,16,3,"[0.5800928473472595, 0.32633107900619507, 0.30247607827186584, 0.28995129466056824, 0.2796907424926758, 0.2710995674133301, 0.26266905665397644, 0.25565099716186523, 0.24889269471168518, 0.2422264963388443, 0.23648682236671448, 0.2313031554222107, 0.22598373889923096, 0.22054648399353027, 0.21582655608654022, 0.2109120786190033]","[0.23507380485534668, 0.2030794620513916, 0.19250522553920746, 0.18458625674247742, 0.17859265208244324, 0.17756906151771545, 0.16935038566589355, 0.16379685699939728, 0.16083167493343353, 0.15948908030986786, 0.1568237543106079, 0.151725172996521, 0.15091675519943237, 0.1518240123987198, 0.14526234567165375, 0.15154656767845154]",0.14526234567165375,1048.5770579660311,0
5,25,0.00016454200177151335,32,13,5,"[0.2782638370990753, 0.16060902178287506, 0.1225571483373642, 0.10275214910507202, 0.08548649400472641, 0.07275324314832687, 0.062310103327035904, 0.05272664874792099, 0.044860173016786575, 0.038405608385801315, 0.03332480415701866, 0.028472956269979477, 0.025379523634910583]","[0.12260612845420837, 0.09318263828754425, 0.08299985527992249, 0.07504298537969589, 0.07245232909917831, 0.06829185038805008, 0.06324098259210587, 0.06162452697753906, 0.06584978848695755, 0.059708427637815475, 0.06630213558673859, 0.05717238783836365, 0.05371464416384697]",0.05371464416384697,934.6331108589657,0
6,32,2.8639355698146438e-05,51,13,4,"[0.40201905369758606, 0.2697889506816864, 0.23942814767360687, 0.21571224927902222, 0.19634167850017548, 0.17994152009487152, 0.16804838180541992, 0.15783540904521942, 0.14942923188209534, 0.14244301617145538, 0.13540183007717133, 0.1302730143070221, 0.1252545565366745]","[0.19646424055099487, 0.17273768782615662, 0.14888712763786316, 0.14068281650543213, 0.13874298334121704, 0.12281163781881332, 0.11233611404895782, 0.11497600376605988, 0.10320858657360077, 0.10571341961622238, 0.10573025792837143, 0.0995093584060669, 0.09675586968660355]",0.09675586968660355,876.6898484249832,0
7,35,0.00035648032212591817,52,15,4,"[0.30541086196899414, 0.17224355041980743, 0.12163779884576797, 0.10088571906089783, 0.07951182872056961, 0.06651877611875534, 0.053662847727537155, 0.045476317405700684, 0.03752158582210541, 0.030857715755701065, 0.027847368270158768, 0.025748318061232567, 0.022639166563749313, 0.04327823594212532, 0.027059558779001236]","[0.19635669887065887, 0.12118005007505417, 0.12474552541971207, 0.08045797049999237, 0.09321874380111694, 0.08898728340864182, 0.06984560191631317, 0.1457562893629074, 0.05755359306931496, 0.07453085482120514, 0.0576513446867466, 0.05876883119344711, 0.2985546290874481, 0.09688661992549896, 0.055061083287000656]",0.055061083287000656,1014.6061413000571,0
8,41,3.3764351040196984e-06,34,18,1,"[0.7422282695770264, 0.4114256501197815, 0.348247230052948, 0.3239489197731018, 0.3093824088573456, 0.2990626096725464, 0.2906644642353058, 0.28329822421073914, 0.27646613121032715, 0.2702362835407257, 0.26479944586753845, 0.259782612323761, 0.25508636236190796, 0.250919371843338, 0.24693524837493896, 0.24324138462543488, 0.23969288170337677, 0.23705501854419708]","[0.33211737871170044, 0.23945210874080658, 0.2188112735748291, 0.20917470753192902, 0.1996312439441681, 0.19262249767780304, 0.1870884746313095, 0.1812814474105835, 0.17850157618522644, 0.1731361746788025, 0.1699567288160324, 0.16767852008342743, 0.16546393930912018, 0.16192364692687988, 0.16357210278511047, 0.15772828459739685, 0.15498216450214386, 0.15408781170845032]",0.15408781170845032,901.816374422051,0
9,46,0.0005043020721439344,52,15,1,"[0.3115212619304657, 0.1804758608341217, 0.14374618232250214, 0.1300140619277954, 0.10559582710266113, 0.09355568140745163, 0.08145327121019363, 0.07119850069284439, 0.06300216913223267, 0.05326588824391365, 0.04604159668087959, 0.04303276538848877, 0.04037187993526459, 0.03402110934257507, 0.030299421399831772]","[0.1703471690416336, 0.10690871626138687, 2.6804211139678955, 0.28905513882637024, 0.08590257167816162, 0.08018221706151962, 0.0837021991610527, 0.0800388902425766, 0.08615696430206299, 0.07587125897407532, 0.0745355561375618, 0.07376887649297714, 0.07552208006381989, 0.06608721613883972, 0.07300480455160141]",0.06608721613883972,732.8771240210626,0
