,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,0,0.0003774833109430551,48,20,2,"[0.30958500504493713, 0.17237533628940582, 0.1307677924633026, 0.10730846971273422, 0.0961131677031517, 0.08261870592832565, 0.07310061156749725, 0.06316133588552475, 0.05618853494524956, 0.047302164137363434, 0.042518340051174164, 0.03685278445482254, 0.03254135325551033, 0.02900657244026661, 0.02604023553431034, 0.026330184191465378, 0.021801311522722244, 0.019180776551365852, 0.01847144588828087, 0.018014375120401382]","[0.126590296626091, 0.13091960549354553, 0.08278866112232208, 0.09030628949403763, 0.0704495832324028, 0.07160544395446777, 0.0718599408864975, 0.06592125445604324, 0.06685085594654083, 0.0662558525800705, 0.06305104494094849, 0.06719572842121124, 0.059297189116477966, 0.058846570551395416, 0.06560005992650986, 0.06144329160451889, 0.059407446533441544, 0.05795678123831749, 0.06619851291179657, 0.05981237441301346]",0.05795678123831749,1216.6701631840551,0
1,10,0.007729927558920673,26,7,1,"[1.0806725025177002, 1.0006136894226074, 1.0004976987838745, 1.0007884502410889, 1.000413179397583, 1.0008127689361572, 1.000754475593567]","[0.7343741059303284, 0.7334562540054321, 0.7323610782623291, 0.7434874176979065, 0.7339417338371277, 0.7313266396522522, 0.7310793995857239]",0.7310793995857239,357.86213284998666,0
2,14,1.0942766721398438e-06,59,17,4,"[0.9418143033981323, 0.8055393695831299, 0.6448062062263489, 0.5454180836677551, 0.4828609526157379, 0.43520405888557434, 0.39904168248176575, 0.37294745445251465, 0.3540074825286865, 0.340274453163147, 0.33038684725761414, 0.32274314761161804, 0.3170502483844757, 0.31226828694343567, 0.3083188533782959, 0.30504825711250305, 0.3021784722805023]","[0.6446383595466614, 0.5076498985290527, 0.406332403421402, 0.350262850522995, 0.30950239300727844, 0.28016605973243713, 0.25699010491371155, 0.24104511737823486, 0.22975511848926544, 0.22130954265594482, 0.21507662534713745, 0.21096810698509216, 0.20722074806690216, 0.20396004617214203, 0.20202068984508514, 0.19970566034317017, 0.19755320250988007]",0.19755320250988007,1139.1552592589287,0
3,21,0.00018387943320345932,39,18,3,"[0.3014090657234192, 0.17846542596817017, 0.13556642830371857, 0.11166960000991821, 0.09572125226259232, 0.08188918977975845, 0.0716106966137886, 0.06360944360494614, 0.05699095129966736, 0.048787251114845276, 0.0429653599858284, 0.037320416420698166, 0.032803039997816086, 0.029794294387102127, 0.026670869439840317, 0.024665243923664093, 0.022824060171842575, 0.021309778094291687]","[0.15290667116641998, 0.09984128922224045, 0.13005465269088745, 0.10691825300455093, 0.09505148231983185, 0.0720519870519638, 0.08142521232366562, 0.06762741506099701, 0.06947451084852219, 0.08058623224496841, 0.0653962716460228, 0.074299156665802, 0.06896770745515823, 0.06560938060283661, 0.06721280515193939, 0.06310591846704483, 0.06231208145618439, 0.06615093350410461]",0.06231208145618439,1187.8226647139527,0
4,30,0.00022792333855476546,40,15,3,"[0.3205651342868805, 0.19067716598510742, 0.13490724563598633, 0.11012957990169525, 0.09387817978858948, 0.08133567869663239, 0.0710657387971878, 0.062198761850595474, 0.05397934466600418, 0.04735811427235603, 0.041352976113557816, 0.03641505539417267, 0.032821085304021835, 0.02857675962150097, 0.02509995922446251]","[0.1350720226764679, 0.12203799188137054, 0.09449157118797302, 0.09685827791690826, 0.07573174685239792, 0.08936010301113129, 0.07372036576271057, 0.0616876445710659, 0.0642460361123085, 0.06141344830393791, 0.06466381996870041, 0.05732585862278938, 0.057977765798568726, 0.057382915169000626, 0.05976168438792229]",0.05732585862278938,997.7862026939401,0
5,34,0.002984232987629714,38,18,1,"[1.005094051361084, 1.0003759860992432, 1.000335693359375, 1.0003496408462524, 1.0003012418746948, 1.000260829925537, 1.0002727508544922, 1.0003148317337036, 1.0002039670944214, 1.0000911951065063, 1.0002259016036987, 1.0002927780151367, 1.000300645828247, 1.0002919435501099, 1.0003437995910645, 1.0001506805419922, 1.000335693359375, 1.000260591506958]","[0.7306101322174072, 0.7331949472427368, 0.7327942252159119, 0.7324656844139099, 0.7316646575927734, 0.7340324521064758, 0.7359477281570435, 0.7354938983917236, 0.7321131229400635, 0.7375738620758057, 0.7301090359687805, 0.7352972626686096, 0.7315953969955444, 0.731080949306488, 0.733237087726593, 0.7292492985725403, 0.7323551774024963, 0.7300746440887451]",0.7292492985725403,904.9325282860082,0
6,39,0.0072699670559354624,47,5,2,"[2.974809408187866, 1.0001041889190674, 1.0001524686813354, 1.000300645828247, 1.0003355741500854]","[0.7305831909179688, 0.7313063144683838, 0.7309294939041138, 0.7316903471946716, 0.7321738004684448]",0.7305831909179688,307.2129335940117,0
7,43,0.00010392879460866177,54,17,2,"[0.36190035939216614, 0.2516019940376282, 0.20622992515563965, 0.17437127232551575, 0.1524706780910492, 0.1378290355205536, 0.12561042606830597, 0.11491589993238449, 0.10683891922235489, 0.10021006315946579, 0.09297524392604828, 0.0868302658200264, 0.08174280822277069, 0.0767546072602272, 0.07286164164543152, 0.06849364936351776, 0.0647926777601242]","[0.17395780980587006, 0.15827734768390656, 0.12599579989910126, 0.1166425347328186, 0.10475025326013565, 0.09698702394962311, 0.10754875838756561, 0.08448665589094162, 0.083595409989357, 0.07888932526111603, 0.08634618669748306, 0.08118026703596115, 0.07895631343126297, 0.0711899846792221, 0.07518194615840912, 0.0710151270031929, 0.06921685487031937]",0.06921685487031937,1028.4184386290144,0
8,47,1.6771015924242806e-05,36,20,4,"[0.40584638714790344, 0.2823898196220398, 0.25422441959381104, 0.23372840881347656, 0.217066690325737, 0.2032262682914734, 0.19134916365146637, 0.18074506521224976, 0.17177119851112366, 0.16360044479370117, 0.15725786983966827, 0.15163551270961761, 0.14641888439655304, 0.14069533348083496, 0.1369592845439911, 0.13276812434196472, 0.1289992332458496, 0.12542548775672913, 0.12235353887081146, 0.11912420392036438]","[0.2002561390399933, 0.16911719739437103, 0.15703719854354858, 0.15403513610363007, 0.1428355574607849, 0.13656669855117798, 0.12236129492521286, 0.12249155342578888, 0.11549593508243561, 0.11469818651676178, 0.10914675146341324, 0.10723607987165451, 0.10521339625120163, 0.13182540237903595, 0.11418572813272476, 0.09937610477209091, 0.09699326753616333, 0.1008753851056099, 0.09474369138479233, 0.09241432696580887]",0.09241432696580887,1391.2893276360119,0
9,55,0.000747059190416601,18,11,5,"[0.24946391582489014, 0.1163562759757042, 0.08599912375211716, 0.06405049562454224, 0.05360472947359085, 0.0443304143846035, 0.03955318033695221, 0.034992676228284836, 0.03135896474123001, 0.029638437554240227, 0.026655826717615128]","[0.09917789697647095, 0.06881015002727509, 0.0682983547449112, 0.08826208859682083, 0.1478293091058731, 0.04731263220310211, 0.04970252141356468, 0.043079305440187454, 0.041951097548007965, 0.0446435809135437, 0.04460760951042175]",0.041951097548007965,872.5267318290425,0
