,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,3,0.0010387514693948718,51,18,3,"[0.3668639063835144, 0.19857685267925262, 0.11856011301279068, 0.10073067247867584, 0.07722101360559464, 0.06313075125217438, 0.05447029694914818, 0.049659498035907745, 0.04248661547899246, 0.03853263333439827, 0.03533076494932175, 0.030999887734651566, 0.02991214022040367, 0.026784753426909447, 0.029711468145251274, 0.02686176262795925, 0.02240806631743908, 0.020902814343571663]","[0.39364123344421387, 0.1202128529548645, 0.08495622873306274, 0.07201126217842102, 0.06692282855510712, 0.05554074048995972, 0.05552142858505249, 0.055036310106515884, 0.05190213397145271, 0.05262334272265434, 0.0552954226732254, 0.05101901665329933, 0.04890843853354454, 0.05089657008647919, 0.047436121851205826, 0.04713902249932289, 0.05061249062418938, 0.047774672508239746]",0.04713902249932289,1134.3660052330233,0
1,10,2.0341479213386978e-06,26,7,3,"[0.7834112644195557, 0.4935027062892914, 0.3886994421482086, 0.34928327798843384, 0.3330341577529907, 0.3241676390171051, 0.3174704909324646]","[0.41390660405158997, 0.29102131724357605, 0.2488890439271927, 0.22675010561943054, 0.21852965652942657, 0.21120572090148926, 0.2103714495897293]",0.2103714495897293,460.99123314395547,0
2,14,2.949678583216062e-06,56,10,5,"[0.7761861085891724, 0.47652778029441833, 0.37451836466789246, 0.32687416672706604, 0.3025062680244446, 0.287689745426178, 0.2769131362438202, 0.2689664661884308, 0.26177555322647095, 0.25598686933517456]","[0.38817697763442993, 0.28107839822769165, 0.23314924538135529, 0.21182896196842194, 0.19791315495967865, 0.18780075013637543, 0.1801917403936386, 0.1772325038909912, 0.17117060720920563, 0.16747510433197021]",0.16747510433197021,655.139263930032,0
3,18,0.0008916142428466034,46,5,2,"[0.3522917628288269, 0.20071859657764435, 0.13112075626850128, 0.10200022161006927, 0.08438607305288315]","[0.14148132503032684, 0.0988810583949089, 0.06922557204961777, 0.14619506895542145, 0.059676337987184525]",0.059676337987184525,293.4085552028846,0
4,20,2.2426167856778744e-05,27,18,4,"[0.3989523947238922, 0.27401870489120483, 0.24548296630382538, 0.22504614293575287, 0.20694665610790253, 0.19219963252544403, 0.17837925255298615, 0.16698645055294037, 0.15726473927497864, 0.1499243974685669, 0.1419987678527832, 0.13588665425777435, 0.13072267174720764, 0.12465405464172363, 0.11956620216369629, 0.11556977033615112, 0.11172300577163696, 0.10805521160364151]","[0.19583992660045624, 0.16372503340244293, 0.14910735189914703, 0.13737747073173523, 0.14364513754844666, 0.14905187487602234, 0.11679777503013611, 0.12231255322694778, 0.10695169121026993, 0.10957349836826324, 0.11105093359947205, 0.10858412086963654, 0.1269410252571106, 0.09468340128660202, 0.09782549738883972, 0.09022895991802216, 0.09921132773160934, 0.0897652804851532]",0.0897652804851532,1220.958222258836,0
5,26,0.0010380898673481177,26,14,2,"[0.4358132779598236, 0.21941734850406647, 0.15017808973789215, 0.14263540506362915, 0.1073015034198761, 0.09324768930673599, 0.0824427381157875, 0.08148085325956345, 0.0706164762377739, 0.06493960320949554, 0.059760931879282, 0.05809144303202629, 0.05135123059153557, 0.05003313720226288]","[0.1793401539325714, 0.10415014624595642, 0.5760504007339478, 0.12785297632217407, 0.07470224797725677, 0.08795003592967987, 0.06582237780094147, 0.11368927359580994, 0.06230578199028969, 0.12492585182189941, 0.07354442030191422, 0.0638497918844223, 0.07097094506025314, 0.06584712117910385]",0.06230578199028969,842.0423794160597,0
6,32,0.005382656636372443,27,12,3,"[1.040712594985962, 1.0004159212112427, 1.0005007982254028, 1.000485897064209, 1.000522494316101, 1.0003962516784668, 1.0007673501968384, 1.0003468990325928, 1.0005613565444946, 1.000585913658142, 1.0002790689468384, 1.000679612159729]","[0.7303242683410645, 0.7327736020088196, 0.7423190474510193, 0.7339696884155273, 0.7336045503616333, 0.7289742231369019, 0.7340553998947144, 0.7318020462989807, 0.7317409515380859, 0.7332160472869873, 0.739412248134613, 0.7338998317718506]",0.7289742231369019,790.3374644960277,0
7,38,0.0001140564283299399,31,10,3,"[0.3289434313774109, 0.21025420725345612, 0.15980945527553558, 0.13249199092388153, 0.11403518170118332, 0.09991579502820969, 0.08886756747961044, 0.07989248633384705, 0.07118134200572968, 0.06427041441202164]","[0.1612408608198166, 0.1257016509771347, 0.10582859069108963, 0.08788379281759262, 0.08752533793449402, 0.08963371068239212, 0.0733509212732315, 0.06976504623889923, 0.07162169367074966, 0.06902001798152924]",0.06902001798152924,651.9998582429253,0
8,39,0.003711365394743304,26,19,5,"[1.0060356855392456, 1.0004167556762695, 1.00043523311615, 1.0005155801773071, 1.0003976821899414, 1.000292420387268, 1.0003399848937988, 1.00034499168396, 1.0004897117614746, 1.0004405975341797, 1.0003119707107544, 1.000443458557129, 1.0003517866134644, 1.0003634691238403, 1.000357747077942, 1.0002328157424927, 1.0004596710205078, 1.0003724098205566, 1.0004587173461914]","[0.7347754240036011, 0.7303484082221985, 0.7298244833946228, 0.7322808504104614, 0.7338944673538208, 0.7356073260307312, 0.7348389029502869, 0.7365748286247253, 0.7327088713645935, 0.7348735928535461, 0.7306420207023621, 0.7346624732017517, 0.7374445199966431, 0.7303064465522766, 0.7306998372077942, 0.7307606935501099, 0.7314168810844421, 0.7333822846412659, 0.7315415740013123]",0.7298244833946228,1332.2922821589746,0
9,46,0.0015573948604023485,34,9,5,"[0.2823871076107025, 0.1491256058216095, 0.09123421460390091, 0.06739849597215652, 0.05789186805486679, 0.05208682641386986, 0.04413967207074165, 0.04247065633535385, 0.038203444331884384]","[0.3493819236755371, 0.07454411685466766, 0.06412270665168762, 0.05086835101246834, 0.051807109266519547, 0.04688475653529167, 0.04908512905240059, 0.050163719803094864, 0.04708905890583992]",0.04688475653529167,609.8712173239328,0
