,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,1,0.0004947123797131636,53,19,0,"[0.27613934874534607, 0.12913778424263, 0.08886616677045822, 0.06533817946910858, 0.046219613403081894, 0.033215198665857315, 0.0265805684030056, 0.0262130256742239, 0.021838633343577385, 0.018080588430166245, 0.01668907329440117, 0.017497587949037552, 0.01608957163989544, 0.01453439425677061, 0.012533464469015598, 0.011420650407671928, 0.013375808484852314, 0.0124222906306386, 0.010662645101547241]","[0.11377868801355362, 0.07079128175973892, 0.07290563732385635, 0.07432595640420914, 0.0579136498272419, 0.05442599579691887, 0.05352358892560005, 0.05118337273597717, 0.04790124669671059, 0.054685309529304504, 0.048256926238536835, 0.04768936336040497, 0.04954160377383232, 0.044703446328639984, 0.04332653805613518, 0.04592125117778778, 0.044474147260189056, 0.041517361998558044, 0.04254266992211342]",0.041517361998558044,1255.2468309942633,0
1,9,6.398213771416699e-05,16,15,3,"[0.32175689935684204, 0.22166937589645386, 0.17577017843723297, 0.1471821665763855, 0.13006363809108734, 0.11577810347080231, 0.106216661632061, 0.09476857632398605, 0.08679165691137314, 0.08024028688669205, 0.07332656532526016, 0.06778772920370102, 0.06174507737159729, 0.05714624747633934, 0.05241909623146057]","[0.164089173078537, 0.12615692615509033, 0.10932567715644836, 0.14495618641376495, 0.08628394454717636, 0.0836501494050026, 0.08839333802461624, 0.08405495434999466, 0.07329950481653214, 0.07178866118192673, 0.07661306113004684, 0.06861372292041779, 0.07471809536218643, 0.0687335878610611, 0.07904395461082458]",0.06861372292041779,1033.5645494889468,0
2,17,0.0030657513009123938,58,14,0,"[1.0950734615325928, 1.0001405477523804, 1.0001853704452515, 1.000249981880188, 1.0002293586730957, 1.0002542734146118, 1.0002317428588867, 1.0001790523529053, 1.000095009803772, 1.0002413988113403, 1.0001379251480103, 1.0003067255020142, 1.000259280204773, 1.0001884698867798]","[0.7328944206237793, 0.7324123382568359, 0.7326852083206177, 0.7314502596855164, 0.7333081960678101, 0.731151819229126, 0.7332913279533386, 0.7322857975959778, 0.7363206744194031, 0.7330186367034912, 0.7303937673568726, 0.7312945127487183, 0.7335440516471863, 0.7335032224655151]",0.7303937673568726,907.2349014971405,0
3,23,8.890767736804006e-06,63,17,0,"[0.4985887110233307, 0.2919004559516907, 0.25832805037498474, 0.24142517149448395, 0.22914567589759827, 0.22095611691474915, 0.21278108656406403, 0.2061491310596466, 0.20046743750572205, 0.19565919041633606, 0.19064106047153473, 0.1862591803073883, 0.18216492235660553, 0.17818334698677063, 0.1748693287372589, 0.17103363573551178, 0.16806279122829437]","[0.23481066524982452, 0.17611882090568542, 0.16699156165122986, 0.17048509418964386, 0.15412932634353638, 0.14545537531375885, 0.14085425436496735, 0.13862618803977966, 0.1438453048467636, 0.13264471292495728, 0.1303662210702896, 0.13383051753044128, 0.12707111239433289, 0.127498060464859, 0.12105397880077362, 0.12562140822410583, 0.12099957466125488]",0.12099957466125488,1098.9096420165151,0
4,28,2.0357529494755814e-06,17,11,2,"[0.6980805993080139, 0.39884740114212036, 0.3421522378921509, 0.32325422763824463, 0.31163832545280457, 0.3033571243286133, 0.2961154878139496, 0.29043781757354736, 0.2851450741291046, 0.28007930517196655, 0.27569901943206787]","[0.3249272406101227, 0.23882567882537842, 0.22022370994091034, 0.20825061202049255, 0.20210273563861847, 0.196905255317688, 0.1914268583059311, 0.18744006752967834, 0.18607111275196075, 0.1828787624835968, 0.17848823964595795]",0.17848823964595795,683.2258246876299,0
5,33,0.0035605813904616038,45,5,1,"[1.0021010637283325, 1.0003514289855957, 1.0002961158752441, 1.0003550052642822, 1.000306487083435]","[0.733400285243988, 0.7346956729888916, 0.7357403635978699, 0.7320030331611633, 0.7314801216125488]",0.7314801216125488,231.56168771907687,0
6,34,1.5626356725179543e-05,47,16,4,"[0.4750679135322571, 0.30033132433891296, 0.2726558744907379, 0.2535136938095093, 0.24029606580734253, 0.228672593832016, 0.21867196261882782, 0.20929333567619324, 0.20085600018501282, 0.19285914301872253, 0.18539927899837494, 0.17868322134017944, 0.1725275069475174, 0.16629305481910706, 0.16083332896232605, 0.15640100836753845]","[0.20745904743671417, 0.1808996945619583, 0.16794085502624512, 0.1580396145582199, 0.1486753523349762, 0.14428314566612244, 0.14022253453731537, 0.1407822221517563, 0.12877386808395386, 0.12393956631422043, 0.12020913511514664, 0.11560723930597305, 0.11362220346927643, 0.11171356588602066, 0.12150225788354874, 0.10507161915302277]",0.10507161915302277,1037.6958494987339,0
7,40,0.0006433839913433456,53,19,1,"[0.3237900733947754, 0.1962655931711197, 0.14501233398914337, 0.12935881316661835, 0.10806477814912796, 0.10150790959596634, 0.08188600838184357, 0.0751596987247467, 0.06263747811317444, 0.054768241941928864, 0.047903046011924744, 0.044013071805238724, 0.041128240525722504, 0.03633413836359978, 0.032926030457019806, 0.03066781722009182, 0.028331952169537544, 0.02787691541016102, 0.026932118460536003]","[0.12172611802816391, 0.12657295167446136, 0.09681738168001175, 0.0853608101606369, 0.08581928163766861, 0.07562052458524704, 0.0924704521894455, 0.07728304713964462, 0.08250049501657486, 0.08109024167060852, 0.07127346843481064, 0.07852409034967422, 0.07186975330114365, 0.07410850375890732, 0.0719933733344078, 0.07494153082370758, 0.07800935953855515, 0.07337462902069092, 0.07282605022192001]",0.07127346843481064,867.9766257125884,0
8,45,0.00021976607007821974,43,5,3,"[0.3374720513820648, 0.20709672570228577, 0.15583743155002594, 0.12574134767055511, 0.10945235192775726]","[0.28845202922821045, 0.13666550815105438, 0.14632835984230042, 0.09572969377040863, 0.11110147833824158]",0.09572969377040863,317.98537502251565,0
9,47,0.0010161297021711003,41,15,1,"[0.34878504276275635, 0.22043482959270477, 0.16394861042499542, 0.12922807037830353, 0.11437952518463135, 0.09480191767215729, 0.08537833392620087, 0.07623515278100967, 0.06532975286245346, 0.06074346601963043, 0.055991627275943756, 0.05133119225502014, 0.058553919196128845, 0.04116818308830261, 0.0389971099793911]","[0.23688694834709167, 0.1254352629184723, 0.10571466386318207, 0.11668459326028824, 0.07520786672830582, 0.08216112107038498, 0.09223782271146774, 0.077449731528759, 0.0684482529759407, 0.07071913033723831, 0.06978415697813034, 0.0761587843298912, 0.06712719053030014, 0.06502806395292282, 0.06767058372497559]",0.06502806395292282,688.5697161499411,0
10,52,0.00026491854329479614,43,17,4,"[0.30680423974990845, 0.1724763810634613, 0.13209179043769836, 0.10744526237249374, 0.08698828518390656, 0.07449470460414886, 0.06117378920316696, 0.05062978342175484, 0.04612688347697258, 0.03827850893139839, 0.03174664452672005, 0.028092795982956886, 0.02493005059659481, 0.02251548506319523, 0.021827075630426407, 0.020372988656163216, 0.01820005662739277]","[0.12559719383716583, 0.18515707552433014, 0.11814732104539871, 0.08778341114521027, 0.07756438106298447, 0.0764545425772667, 0.18967106938362122, 0.07721655070781708, 0.2837276756763458, 0.06542704999446869, 0.06784962117671967, 0.0601189061999321, 0.06353729963302612, 0.08464746922254562, 0.05911797657608986, 0.057851001620292664, 0.060448601841926575]",0.057851001620292664,1102.7682892400771,0
11,58,0.00024990702096720774,60,6,1,"[0.3239821791648865, 0.19049474596977234, 0.14730803668498993, 0.12681874632835388, 0.11348776519298553, 0.10236389189958572]","[0.1473454385995865, 0.10499307513237, 0.08674030750989914, 0.08426403254270554, 0.08314142376184464, 0.08981910347938538]",0.08314142376184464,273.1445622202009,0
12,59,1.769664366465009e-06,47,18,2,"[0.8895922303199768, 0.6046053767204285, 0.45914268493652344, 0.39275601506233215, 0.361125111579895, 0.3449440002441406, 0.33490338921546936, 0.327843576669693, 0.3222757577896118, 0.317786306142807, 0.31353631615638733, 0.31055253744125366, 0.30726030468940735, 0.30417001247406006, 0.30144187808036804, 0.29874539375305176, 0.2964213192462921, 0.2940238416194916]","[0.5205508470535278, 0.35043615102767944, 0.2774340510368347, 0.24327945709228516, 0.22789227962493896, 0.21985843777656555, 0.21397122740745544, 0.21083417534828186, 0.2065477818250656, 0.20424596965312958, 0.20283743739128113, 0.1995372325181961, 0.19653230905532837, 0.1943848729133606, 0.19256022572517395, 0.1907767504453659, 0.1895686537027359, 0.18830642104148865]",0.18830642104148865,1038.396457536146,0
13,65,0.0018040170424716022,52,5,2,"[0.47071340680122375, 0.28683122992515564, 0.22438450157642365, 0.15673601627349854, 0.13122284412384033]","[0.26990047097206116, 0.25808829069137573, 0.1284620612859726, 0.16661064326763153, 0.09290950000286102]",0.09290950000286102,289.72223714366555,0
14,67,8.726548736914063e-06,31,15,3,"[0.5172549486160278, 0.3223012387752533, 0.30278775095939636, 0.29002854228019714, 0.27936407923698425, 0.27000805735588074, 0.2613529860973358, 0.2531621754169464, 0.24573412537574768, 0.2385699599981308, 0.2325158268213272, 0.22678792476654053, 0.22037512063980103, 0.21526651084423065, 0.20993845164775848]","[0.2218834012746811, 0.20022404193878174, 0.1914513111114502, 0.18817028403282166, 0.1764131784439087, 0.176115944981575, 0.1668393313884735, 0.1615980565547943, 0.16491886973381042, 0.159525528550148, 0.14935755729675293, 0.14621379971504211, 0.15208886563777924, 0.14521300792694092, 0.1388309746980667]",0.1388309746980667,961.2417532280087,0
15,72,1.5370835791292224e-05,40,20,2,"[0.4499135911464691, 0.30103757977485657, 0.2799968719482422, 0.26387205719947815, 0.2481795698404312, 0.2342519462108612, 0.22251051664352417, 0.2123827487230301, 0.2048725038766861, 0.19677633047103882, 0.1907275766134262, 0.18538214266300201, 0.17968010902404785, 0.17520169913768768, 0.1701897382736206, 0.16560356318950653, 0.16167263686656952, 0.15806527435779572, 0.154792919754982, 0.15100498497486115]","[0.2051135003566742, 0.1965530812740326, 0.17454227805137634, 0.16789668798446655, 0.16590483486652374, 0.1601487100124359, 0.1435447633266449, 0.14663395285606384, 0.13573455810546875, 0.130939319729805, 0.1287793219089508, 0.13006457686424255, 0.12125014513731003, 0.11954226344823837, 0.12018551677465439, 0.115877665579319, 0.11248795688152313, 0.12417497485876083, 0.11610478907823563, 0.11443343013525009]",0.11248795688152313,1158.6537729166448,0
16,79,1.1008141156735197e-06,16,13,4,"[0.805210530757904, 0.5447704195976257, 0.4379367232322693, 0.3771636188030243, 0.34256884455680847, 0.32305702567100525, 0.3107525706291199, 0.3019941747188568, 0.29578325152397156, 0.29065075516700745, 0.28609269857406616, 0.2821149230003357, 0.278395414352417]","[0.4383109211921692, 0.33176714181900024, 0.27455225586891174, 0.24141885340213776, 0.2256489098072052, 0.21457542479038239, 0.20645347237586975, 0.20171110332012177, 0.1994507759809494, 0.19397400319576263, 0.1914924532175064, 0.18870480358600616, 0.18614977598190308]",0.18614977598190308,938.906037831679,0
17,85,0.003607357324010728,45,14,4,"[3.2980282306671143, 1.000077724456787, 1.0001156330108643, 1.0001786947250366, 1.0001996755599976, 1.0002045631408691, 1.0002175569534302, 1.0004059076309204, 1.0002464056015015, 1.0003198385238647, 1.0002213716506958, 1.000222086906433, 1.0003910064697266, 1.0003852844238281]","[0.7328203916549683, 0.7316832542419434, 0.7312710285186768, 0.732442319393158, 0.7313423156738281, 0.7341446280479431, 0.7299168109893799, 0.7325075268745422, 0.7334038019180298, 0.7335748672485352, 0.7320740818977356, 0.7300462126731873, 0.7304977178573608, 0.7307801842689514]",0.7299168109893799,907.7121123354882,0
18,91,0.006901671782790487,26,6,3,"[1.7199510335922241, 1.0001919269561768, 1.0007301568984985, 1.0005018711090088, 1.0006905794143677, 1.0007315874099731]","[0.731473445892334, 0.7293030619621277, 0.7331845760345459, 0.730618417263031, 0.7316777110099792, 0.7402625679969788]",0.7293030619621277,392.61713550798595,0
