,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,2,0.0001334209685745493,62,8,0,"[0.300088107585907, 0.1810608208179474, 0.1415623277425766, 0.11634524166584015, 0.10081513971090317, 0.0865321233868599, 0.075700543820858, 0.06732945889234543]","[0.1566239446401596, 0.10953067988157272, 0.1197957769036293, 0.08419887721538544, 0.07704482227563858, 0.07354245334863663, 0.07525105029344559, 0.15304674208164215]",0.07354245334863663,527.8777698250487,0
1,5,3.94646114800875e-05,45,16,5,"[0.3338759243488312, 0.2346099615097046, 0.20110255479812622, 0.1782194823026657, 0.1588532030582428, 0.14584441483020782, 0.13517597317695618, 0.12671680748462677, 0.11866801977157593, 0.11268242448568344, 0.10659854114055634, 0.10121642798185349, 0.09601680934429169, 0.09206867963075638, 0.08739648014307022, 0.0837634727358818]","[0.16925178468227386, 0.14523431658744812, 0.12598805129528046, 0.11376167833805084, 0.10484328866004944, 0.1032494306564331, 0.09689577668905258, 0.10078580677509308, 0.0924450010061264, 0.08768485486507416, 0.0867941677570343, 0.0831608921289444, 0.0889563038945198, 0.08231858164072037, 0.08525241166353226, 0.08731165528297424]",0.08231858164072037,1063.8364747429732,0
2,12,0.0021507178273568552,17,18,5,"[1.002562165260315, 1.0002273321151733, 1.0002551078796387, 1.0003725290298462, 1.0003666877746582, 1.000248908996582, 1.0003910064697266, 1.0002495050430298, 1.0004291534423828, 1.0002522468566895, 1.0002918243408203, 1.000250220298767, 1.0002747774124146, 1.0003924369812012, 1.0003151893615723, 1.0003182888031006, 1.0003117322921753, 1.0002639293670654]","[0.7321208715438843, 0.7325790524482727, 0.7345279455184937, 0.7329297661781311, 0.7323814034461975, 0.733802318572998, 0.7322737574577332, 0.7321468591690063, 0.7339056730270386, 0.7335337400436401, 0.7323741912841797, 0.730950117111206, 0.7323700189590454, 0.7322400808334351, 0.7332774996757507, 0.7346386313438416, 0.7354350686073303, 0.7312081456184387]",0.730950117111206,1356.0006159411278,0
3,22,2.8903035987078353e-05,16,8,0,"[0.29924798011779785, 0.20047752559185028, 0.16490387916564941, 0.14346453547477722, 0.12764646112918854, 0.11520352959632874, 0.10654503107070923, 0.09766751527786255]","[0.14594492316246033, 0.11609306931495667, 0.10532337427139282, 0.10271496325731277, 0.0930345356464386, 0.08600454032421112, 0.08337590098381042, 0.08190233260393143]",0.08190233260393143,619.2104662919883,0
4,25,0.002239563960321119,64,16,5,"[0.45153266191482544, 189.8962860107422, 1.000074028968811, 1.0000553131103516, 1.0000382661819458, 1.0000274181365967, 1.0000190734863281, 1.0000157356262207, 1.0000253915786743, 1.0000265836715698, 1.000024437904358, 1.0000364780426025, 1.000044345855713, 1.0000468492507935, 1.000043272972107, 1.0001051425933838]","[0.1061067283153534, 0.7322247624397278, 0.7321967482566833, 0.7321855425834656, 0.7322012186050415, 0.7322636246681213, 0.7322424054145813, 0.7322107553482056, 0.7322256565093994, 0.7321817874908447, 0.7325620055198669, 0.7326955199241638, 0.7320077419281006, 0.7326036095619202, 0.7336325645446777, 0.7329062223434448]",0.1061067283153534,1034.63405873999,0
5,31,9.691826152212932e-06,48,15,1,"[0.5291181206703186, 0.3175293803215027, 0.2909330129623413, 0.2748976945877075, 0.2629411816596985, 0.2533681094646454, 0.24479785561561584, 0.23823294043540955, 0.23266668617725372, 0.22733047604560852, 0.2221466302871704, 0.21823298931121826, 0.2141023576259613, 0.21089084446430206, 0.20761166512966156]","[0.2228763997554779, 0.20956625044345856, 0.18102365732192993, 0.1751949042081833, 0.16674648225307465, 0.15922851860523224, 0.15707466006278992, 0.16690699756145477, 0.14926359057426453, 0.1473534256219864, 0.1412307769060135, 0.14137257635593414, 0.1473817676305771, 0.13698744773864746, 0.1346803456544876]",0.1346803456544876,690.5958905420266,0
6,35,0.0048034103056734,17,20,4,"[1.010164499282837, 1.000643253326416, 1.0007702112197876, 1.000443458557129, 1.0005966424942017, 1.0005635023117065, 1.0007190704345703, 1.0006914138793945, 1.0006873607635498, 1.000738501548767, 1.0005877017974854, 1.0006812810897827, 1.0007342100143433, 1.000655174255371, 1.0005378723144531, 1.0006006956100464, 1.0007654428482056, 1.0004868507385254, 1.0005160570144653, 1.000591516494751]","[0.7349287271499634, 0.735152006149292, 0.7306023836135864, 0.7312025427818298, 0.7288118004798889, 0.7403714060783386, 0.7311668395996094, 0.7319085001945496, 0.7334147691726685, 0.7313336730003357, 0.7333691716194153, 0.7296817898750305, 0.734727144241333, 0.7297590374946594, 0.7307332158088684, 0.7319453954696655, 0.7321420311927795, 0.7307045459747314, 0.7371424436569214, 0.737909734249115]",0.7288118004798889,1461.7609008741565,0
7,42,3.596334492331449e-05,29,13,0,"[0.3370157778263092, 0.2180636078119278, 0.18367794156074524, 0.16235153377056122, 0.1450101137161255, 0.13309428095817566, 0.12170984596014023, 0.11358822137117386, 0.10612960904836655, 0.10000022500753403, 0.09351414442062378, 0.08776451647281647, 0.08285214006900787]","[0.16881105303764343, 0.12961317598819733, 0.11994275450706482, 0.1057661771774292, 0.11350663751363754, 0.09817592054605484, 0.09097747504711151, 0.08665862679481506, 0.11347607523202896, 0.08068735152482986, 0.08112844079732895, 0.08006403595209122, 0.0775396004319191]",0.0775396004319191,903.4715589501429,0
8,48,0.000440500640303808,46,16,2,"[0.3196973204612732, 0.18688276410102844, 0.13108369708061218, 0.11021767556667328, 0.09129390120506287, 0.07899858802556992, 0.06987933069467545, 0.06010616198182106, 0.05210193246603012, 0.04691702499985695, 0.04206051677465439, 0.03539888560771942, 0.033810004591941833, 0.02954070083796978, 0.02529304288327694, 0.02371579222381115]","[0.2242913842201233, 0.09599471837282181, 0.08048165589570999, 0.07112956792116165, 0.07122461497783661, 0.09002640843391418, 0.0686306282877922, 0.0990040972828865, 0.08367297798395157, 0.053001441061496735, 0.05512721836566925, 0.055745773017406464, 0.06698425859212875, 0.05630696564912796, 0.05486174300312996, 0.05484258383512497]",0.053001441061496735,931.774741662899,0
9,53,0.00016450062479007028,50,20,5,"[0.3103633224964142, 0.18342888355255127, 0.1402968168258667, 0.11562303453683853, 0.09939746558666229, 0.0861426442861557, 0.07645745575428009, 0.06779395788908005, 0.059492167085409164, 0.05312005802989006, 0.046529222279787064, 0.04138805717229843, 0.036939769983291626, 0.03343554586172104, 0.028961002826690674, 0.025821538642048836, 0.023601273074746132, 0.02108127437531948, 0.019607294350862503, 0.017860013991594315]","[0.13420537114143372, 0.17695504426956177, 0.0899069532752037, 0.1140364557504654, 0.07208035886287689, 0.07925403118133545, 0.07346951961517334, 0.07614747434854507, 0.06347528100013733, 0.06208561360836029, 0.060902632772922516, 0.07483750581741333, 0.0582454614341259, 0.056933801621198654, 0.0597115159034729, 0.06830694526433945, 0.059947289526462555, 0.0657910630106926, 0.05768236145377159, 0.0564601756632328]",0.0564601756632328,1312.59197532502,0
10,60,0.0007468492709117681,37,11,0,"[0.2713581919670105, 0.10961604118347168, 0.07183380424976349, 0.04790816083550453, 0.03725747391581535, 0.03580675274133682, 0.02984883449971676, 0.022894077003002167, 0.021183600649237633, 0.020846489816904068, 0.022232890129089355]","[0.07598737627267838, 0.057865794748067856, 0.04722217097878456, 0.05341111868619919, 0.041123561561107635, 0.052076153457164764, 0.04144975170493126, 0.03690484166145325, 0.035327330231666565, 0.035428840667009354, 0.04536939412355423]",0.035327330231666565,742.8148755249567,0
11,64,8.053783570895769e-06,64,20,3,"[0.6410061120986938, 0.35791054368019104, 0.32927677035331726, 0.3122105300426483, 0.3003329932689667, 0.2908085286617279, 0.28169506788253784, 0.2735757529735565, 0.26696091890335083, 0.2604539394378662, 0.2549379765987396, 0.24973201751708984, 0.24466392397880554, 0.24081622064113617, 0.2364477515220642, 0.2318090945482254, 0.22776497900485992, 0.22412867844104767, 0.22013546526432037, 0.21649622917175293]","[0.2568325996398926, 0.2274610549211502, 0.20910954475402832, 0.19775041937828064, 0.1938323825597763, 0.18300864100456238, 0.18092699348926544, 0.1754673719406128, 0.16861198842525482, 0.1644415557384491, 0.16112147271633148, 0.15829086303710938, 0.15923990309238434, 0.15185394883155823, 0.15334783494472504, 0.1502789556980133, 0.1502235382795334, 0.1429802030324936, 0.140574648976326, 0.1380915492773056]",0.1380915492773056,1241.61859636195,0
12,71,4.901990361664484e-06,30,16,4,"[0.6161371469497681, 0.3683008551597595, 0.3245208263397217, 0.3043184280395508, 0.28954029083251953, 0.27748364210128784, 0.268067866563797, 0.2596892714500427, 0.2521785795688629, 0.24615003168582916, 0.24051730334758759, 0.23494413495063782, 0.2297927439212799, 0.22445730865001678, 0.21980434656143188, 0.21540629863739014]","[0.28057292103767395, 0.2241014689207077, 0.2072751522064209, 0.19487349689006805, 0.18501803278923035, 0.17837533354759216, 0.17070910334587097, 0.16822141408920288, 0.16241560876369476, 0.17249974608421326, 0.16015230119228363, 0.15731482207775116, 0.1515343189239502, 0.14662930369377136, 0.14773495495319366, 0.14085572957992554]",0.14085572957992554,1076.3602499049157,0
13,76,1.6122748430253215e-06,43,17,2,"[0.8754815459251404, 0.6111772656440735, 0.4524022936820984, 0.37607237696647644, 0.3455883860588074, 0.3312229514122009, 0.3224107027053833, 0.31636837124824524, 0.31160324811935425, 0.30764177441596985, 0.30424463748931885, 0.30108875036239624, 0.2981521189212799, 0.2953023612499237, 0.292847216129303, 0.29041025042533875, 0.2880551218986511]","[0.5183921456336975, 0.3525817096233368, 0.2707919478416443, 0.2338111698627472, 0.22139769792556763, 0.21417805552482605, 0.20950135588645935, 0.20485669374465942, 0.2015874832868576, 0.20016033947467804, 0.1968124955892563, 0.19574685394763947, 0.19274380803108215, 0.19082483649253845, 0.18882820010185242, 0.18682947754859924, 0.18498361110687256]",0.18498361110687256,992.1844805839937,0
14,83,1.6484150143842153e-05,29,12,3,"[0.4201432168483734, 0.2945188283920288, 0.2719937562942505, 0.2551696300506592, 0.2403656393289566, 0.22817927598953247, 0.21757443249225616, 0.20787201821804047, 0.19926321506500244, 0.1918245404958725, 0.1843641996383667, 0.17861171066761017]","[0.19756004214286804, 0.18189938366413116, 0.16884933412075043, 0.16424140334129333, 0.14938239753246307, 0.1425662338733673, 0.14646388590335846, 0.13280779123306274, 0.1365717202425003, 0.12745894491672516, 0.11964379251003265, 0.12393676489591599]",0.11964379251003265,782.1144709279761,0
