number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_lr,params_rot_inv,state
34,0.10507161915302277,2022-10-12 11:38:52.422738,2022-10-12 11:56:50.149024,0 days 00:17:57.726286,47,16,1.5626356725179543e-05,4,COMPLETE
35,0.7288118004798889,2022-10-12 11:38:59.012596,2022-10-12 12:03:51.961014,0 days 00:24:52.948418,17,20,0.0048034103056734,4,COMPLETE
36,0.07091980427503586,2022-10-12 11:41:41.945316,2022-10-12 12:01:35.143281,0 days 00:19:53.197965,20,16,5.0624534961548647e-05,0,COMPLETE
37,0.7308295965194702,2022-10-12 11:42:54.244014,2022-10-12 12:04:59.655075,0 days 00:22:05.411061,33,19,0.0019847904467618833,0,COMPLETE
38,0.06902001798152924,2022-10-12 11:43:48.404654,2022-10-12 11:55:11.233207,0 days 00:11:22.828553,31,10,0.0001140564283299399,3,COMPLETE
39,0.7298244833946228,2022-10-12 11:55:11.300490,2022-10-12 12:17:54.700732,0 days 00:22:43.400242,26,19,0.003711365394743304,5,COMPLETE
40,0.07127346843481064,2022-10-12 11:56:50.232906,2022-10-12 12:12:08.170402,0 days 00:15:17.937496,53,19,0.0006433839913433456,1,COMPLETE
41,0.15807437896728516,2022-10-12 12:01:35.363551,2022-10-12 12:08:52.654026,0 days 00:07:17.290475,50,7,8.74234363340486e-06,2,COMPLETE
42,0.0775396004319191,2022-10-12 12:03:52.023501,2022-10-12 12:19:26.456185,0 days 00:15:34.432684,29,13,3.596334492331449e-05,0,COMPLETE
43,0.04921970143914223,2022-10-12 12:04:59.734887,2022-10-12 12:23:37.322565,0 days 00:18:37.587678,47,17,0.0015128555332257774,3,COMPLETE
44,0.11034926027059555,2022-10-12 12:08:52.726349,2022-10-12 12:28:18.846800,0 days 00:19:26.120451,37,17,6.161322511828598e-06,0,COMPLETE
45,0.09572969377040863,2022-10-12 12:12:08.249703,2022-10-12 12:18:12.004576,0 days 00:06:03.754873,43,5,0.00021976607007821974,3,COMPLETE
46,0.04688475653529167,2022-10-12 12:17:54.790924,2022-10-12 12:28:35.128545,0 days 00:10:40.337621,34,9,0.0015573948604023485,5,COMPLETE
47,0.06502806395292282,2022-10-12 12:18:12.090394,2022-10-12 12:30:18.520999,0 days 00:12:06.430605,41,15,0.0010161297021711003,1,COMPLETE
48,0.053001441061496735,2022-10-12 12:19:26.541067,2022-10-12 12:35:28.552498,0 days 00:16:02.011431,46,16,0.000440500640303808,2,COMPLETE
49,0.038215648382902145,2022-10-12 12:23:37.401402,2022-10-12 12:40:04.586902,0 days 00:16:27.185500,35,14,0.0011180145416383213,5,COMPLETE
50,0.07325799018144608,2022-10-12 12:28:18.932321,2022-10-12 12:44:59.850670,0 days 00:16:40.918349,63,15,5.928222999296261e-05,0,COMPLETE
