,Unnamed: 0,trial,lr,batch_size,epochs,rot_inv,train_loss,val_loss,val_loss_best,tot_time,pruned
0,0,0,9.655122066587723e-06,18,16,1,"[0.4324534237384796, 0.3057832419872284, 0.2771213948726654, 0.25877320766448975, 0.2436400055885315, 0.23289205133914948, 0.22343893349170685, 0.21572865545749664, 0.2092229425907135, 0.2021038830280304, 0.19670535624027252, 0.1917344331741333, 0.18696050345897675, 0.18135704100131989, 0.17794081568717957, 0.17375148832798004]","[0.21961867809295654, 0.20071522891521454, 0.17649251222610474, 0.1630023866891861, 0.15697257220745087, 0.1546059399843216, 0.14644894003868103, 0.14079619944095612, 0.14450626075267792, 0.13493572175502777, 0.1396537721157074, 0.12775512039661407, 0.13303662836551666, 0.12811970710754395, 0.12358468025922775, 0.1232297420501709]",0.1232297420501709,806.2260441570543,0
0,0,1,0.0004947123797131,53,19,0,"[0.27613934874534607, 0.12913778424263, 0.08886616677045822, 0.06533817946910858, 0.046219613403081894, 0.033215198665857315, 0.0265805684030056, 0.0262130256742239, 0.021838633343577385, 0.018080588430166245, 0.01668907329440117, 0.017497587949037552, 0.01608957163989544, 0.01453439425677061, 0.012533464469015598, 0.011420650407671928, 0.013375808484852314, 0.0124222906306386, 0.010662645101547241]","[0.11377868801355362, 0.07079128175973892, 0.07290563732385635, 0.07432595640420914, 0.0579136498272419, 0.05442599579691887, 0.05352358892560005, 0.05118337273597717, 0.04790124669671059, 0.054685309529304504, 0.048256926238536835, 0.04768936336040497, 0.04954160377383232, 0.044703446328639984, 0.04332653805613518, 0.04592125117778778, 0.044474147260189056, 0.041517361998558044, 0.04254266992211342]",0.041517361998558,1255.2468309942633,0
0,0,2,0.0001334209685745,62,8,0,"[0.300088107585907, 0.1810608208179474, 0.1415623277425766, 0.11634524166584015, 0.10081513971090317, 0.0865321233868599, 0.075700543820858, 0.06732945889234543]","[0.1566239446401596, 0.10953067988157272, 0.1197957769036293, 0.08419887721538544, 0.07704482227563858, 0.07354245334863663, 0.07525105029344559, 0.15304674208164215]",0.0735424533486366,527.8777698250487,0
0,0,3,0.0010387514693948,51,18,3,"[0.3668639063835144, 0.19857685267925262, 0.11856011301279068, 0.10073067247867584, 0.07722101360559464, 0.06313075125217438, 0.05447029694914818, 0.049659498035907745, 0.04248661547899246, 0.03853263333439827, 0.03533076494932175, 0.030999887734651566, 0.02991214022040367, 0.026784753426909447, 0.029711468145251274, 0.02686176262795925, 0.02240806631743908, 0.020902814343571663]","[0.39364123344421387, 0.1202128529548645, 0.08495622873306274, 0.07201126217842102, 0.06692282855510712, 0.05554074048995972, 0.05552142858505249, 0.055036310106515884, 0.05190213397145271, 0.05262334272265434, 0.0552954226732254, 0.05101901665329933, 0.04890843853354454, 0.05089657008647919, 0.047436121851205826, 0.04713902249932289, 0.05061249062418938, 0.047774672508239746]",0.0471390224993228,1134.366005233023,0
0,0,4,0.0002268729199869,47,7,5,"[0.30506765842437744, 0.1691206395626068, 0.12686914205551147, 0.10404171049594879, 0.08949412405490875, 0.07618406414985657, 0.06438011676073074]","[0.13179658353328705, 0.109091617166996, 0.08189743757247925, 0.07841891795396805, 0.07459696382284164, 0.0705900639295578, 0.06409548223018646]",0.0640954822301864,465.1265304693952,0
1,1,5,3.94646114800875e-05,45,16,5,"[0.3338759243488312, 0.2346099615097046, 0.20110255479812622, 0.1782194823026657, 0.1588532030582428, 0.14584441483020782, 0.13517597317695618, 0.12671680748462677, 0.11866801977157593, 0.11268242448568344, 0.10659854114055634, 0.10121642798185349, 0.09601680934429169, 0.09206867963075638, 0.08739648014307022, 0.0837634727358818]","[0.16925178468227386, 0.14523431658744812, 0.12598805129528046, 0.11376167833805084, 0.10484328866004944, 0.1032494306564331, 0.09689577668905258, 0.10078580677509308, 0.0924450010061264, 0.08768485486507416, 0.0867941677570343, 0.0831608921289444, 0.0889563038945198, 0.08231858164072037, 0.08525241166353226, 0.08731165528297424]",0.0823185816407203,1063.8364747429732,0
1,1,6,2.6679059597556104e-05,63,14,1,"[0.46389442682266235, 0.30225151777267456, 0.2735575735569, 0.2524506747722626, 0.23651468753814697, 0.22309653460979462, 0.21253223717212677, 0.20227055251598358, 0.19468781352043152, 0.1876739263534546, 0.1811480075120926, 0.1747954934835434, 0.16985538601875305, 0.1649629771709442]","[0.2103489339351654, 0.2019873708486557, 0.16958105564117432, 0.15453746914863586, 0.15588964521884918, 0.1616993546485901, 0.1356450617313385, 0.13377788662910461, 0.12842844426631927, 0.13492964208126068, 0.13379845023155212, 0.11882811784744263, 0.11558309197425842, 0.1273087114095688]",0.1155830919742584,638.2098555378616,0
1,1,7,0.0026210250546645,29,8,1,"[0.5615455508232117, 0.28589150309562683, 0.217614084482193, 0.18542180955410004, 0.16543933749198914, 0.14896699786186218, 0.131803497672081, 0.12742558121681213]","[0.2845926582813263, 0.144788920879364, 0.2198915034532547, 0.11769773811101913, 0.10438264906406403, 0.09637947380542755, 0.09554335474967957, 0.08454994112253189]",0.0845499411225318,377.23960886592977,0
2,2,8,0.000483477416924,28,12,3,"[0.29350370168685913, 0.16801060736179352, 0.11121096462011337, 0.0914510190486908, 0.07156075537204742, 0.05964730307459831, 0.04898800700902939, 0.04033118858933449, 0.037717144936323166, 0.03197406977415085, 0.028572268784046173, 0.025127308443188667]","[0.11678346991539001, 0.09632455557584763, 0.06822717189788818, 0.06905751675367355, 0.07577679306268692, 0.061094801872968674, 0.06130730360746384, 0.06111195310950279, 0.04873795062303543, 0.048070862889289856, 0.0547683946788311, 0.04989126697182655]",0.0480708628892898,784.7682931299787,0
1,1,9,6.398213771416699e-05,16,15,3,"[0.32175689935684204, 0.22166937589645386, 0.17577017843723297, 0.1471821665763855, 0.13006363809108734, 0.11577810347080231, 0.106216661632061, 0.09476857632398605, 0.08679165691137314, 0.08024028688669205, 0.07332656532526016, 0.06778772920370102, 0.06174507737159729, 0.05714624747633934, 0.05241909623146057]","[0.164089173078537, 0.12615692615509033, 0.10932567715644836, 0.14495618641376495, 0.08628394454717636, 0.0836501494050026, 0.08839333802461624, 0.08405495434999466, 0.07329950481653214, 0.07178866118192673, 0.07661306113004684, 0.06861372292041779, 0.07471809536218643, 0.0687335878610611, 0.07904395461082458]",0.0686137229204177,1033.5645494889468,0
1,1,10,2.0341479213386978e-06,26,7,3,"[0.7834112644195557, 0.4935027062892914, 0.3886994421482086, 0.34928327798843384, 0.3330341577529907, 0.3241676390171051, 0.3174704909324646]","[0.41390660405158997, 0.29102131724357605, 0.2488890439271927, 0.22675010561943054, 0.21852965652942657, 0.21120572090148926, 0.2103714495897293]",0.2103714495897293,460.9912331439554,0
2,2,11,1.2230565448243083e-05,40,7,1,"[0.4856460988521576, 0.317979097366333, 0.2863633930683136, 0.2678578495979309, 0.2536294758319855, 0.24292822182178497, 0.23416851460933685]","[0.22678127884864807, 0.219741091132164, 0.18624529242515564, 0.1689271628856659, 0.16513337194919586, 0.1556222289800644, 0.1496061086654663]",0.1496061086654663,321.46241257712245,0
2,2,12,0.0021507178273568,17,18,5,"[1.002562165260315, 1.0002273321151733, 1.0002551078796387, 1.0003725290298462, 1.0003666877746582, 1.000248908996582, 1.0003910064697266, 1.0002495050430298, 1.0004291534423828, 1.0002522468566895, 1.0002918243408203, 1.000250220298767, 1.0002747774124146, 1.0003924369812012, 1.0003151893615723, 1.0003182888031006, 1.0003117322921753, 1.0002639293670654]","[0.7321208715438843, 0.7325790524482727, 0.7345279455184937, 0.7329297661781311, 0.7323814034461975, 0.733802318572998, 0.7322737574577332, 0.7321468591690063, 0.7339056730270386, 0.7335337400436401, 0.7323741912841797, 0.730950117111206, 0.7323700189590454, 0.7322400808334351, 0.7332774996757507, 0.7346386313438416, 0.7354350686073303, 0.7312081456184387]",0.730950117111206,1356.0006159411278,0
3,3,13,2.225971877807669e-06,41,7,3,"[0.8442251086235046, 0.5410686731338501, 0.4042567014694214, 0.3503921926021576, 0.3311684727668762, 0.32077017426490784, 0.3133159875869751]","[0.4614246189594269, 0.31367966532707214, 0.24720436334609985, 0.2247997671365738, 0.21458998322486877, 0.20839713513851166, 0.2031494826078415]",0.2031494826078415,441.34221098199487,0
2,2,14,2.949678583216062e-06,56,10,5,"[0.7761861085891724, 0.47652778029441833, 0.37451836466789246, 0.32687416672706604, 0.3025062680244446, 0.287689745426178, 0.2769131362438202, 0.2689664661884308, 0.26177555322647095, 0.25598686933517456]","[0.38817697763442993, 0.28107839822769165, 0.23314924538135529, 0.21182896196842194, 0.19791315495967865, 0.18780075013637543, 0.1801917403936386, 0.1772325038909912, 0.17117060720920563, 0.16747510433197021]",0.1674751043319702,655.139263930032,0
3,3,15,0.0001336766735683,30,9,0,"[0.2651855945587158, 0.16103968024253845, 0.12373927980661392, 0.09967627376317978, 0.0853680968284607, 0.07206297665834427, 0.060761213302612305, 0.05149892345070839, 0.043825987726449966]","[0.1199716106057167, 0.09671049565076828, 0.08810796588659286, 0.09734290838241577, 0.07311979681253433, 0.07186158746480942, 0.0700250193476677, 0.06611745059490204, 0.10208600014448166]",0.066117450594902,620.6197254259605,0
4,4,16,0.0003229634726099,31,12,4,"[0.29713577032089233, 0.15269824862480164, 0.11240379512310028, 0.08940207213163376, 0.0702478289604187, 0.059018369764089584, 0.04872453212738037, 0.038836196064949036, 0.03584377095103264, 0.029262876138091087, 0.025060482323169708, 0.0235124621540308]","[0.15427426993846893, 0.09115798771381378, 0.07442394644021988, 0.08359332382678986, 0.0739641860127449, 0.06678552180528641, 0.055942945182323456, 0.05796533077955246, 0.06101604551076889, 0.04911461099982262, 0.05545180290937424, 0.04809541627764702]",0.048095416277647,796.7240601768717,0
2,2,17,0.0030657513009123,58,14,0,"[1.0950734615325928, 1.0001405477523804, 1.0001853704452515, 1.000249981880188, 1.0002293586730957, 1.0002542734146118, 1.0002317428588867, 1.0001790523529053, 1.000095009803772, 1.0002413988113403, 1.0001379251480103, 1.0003067255020142, 1.000259280204773, 1.0001884698867798]","[0.7328944206237793, 0.7324123382568359, 0.7326852083206177, 0.7314502596855164, 0.7333081960678101, 0.731151819229126, 0.7332913279533386, 0.7322857975959778, 0.7363206744194031, 0.7330186367034912, 0.7303937673568726, 0.7312945127487183, 0.7335440516471863, 0.7335032224655151]",0.7303937673568726,907.2349014971404,0
3,3,18,0.0008916142428466,46,5,2,"[0.3522917628288269, 0.20071859657764435, 0.13112075626850128, 0.10200022161006927, 0.08438607305288315]","[0.14148132503032684, 0.0988810583949089, 0.06922557204961777, 0.14619506895542145, 0.059676337987184525]",0.0596763379871845,293.4085552028846,0
4,4,19,2.201083544687915e-05,47,11,0,"[0.35152435302734375, 0.24489562213420868, 0.21631358563899994, 0.19532020390033722, 0.17931610345840454, 0.1660957932472229, 0.15496544539928436, 0.1456625610589981, 0.13793106377124786, 0.13095849752426147, 0.12432607263326645]","[0.17081531882286072, 0.1504819393157959, 0.13290061056613922, 0.15397202968597412, 0.12271647900342941, 0.11069636046886444, 0.10922510176897049, 0.10456123948097229, 0.09834887087345123, 0.0971006453037262, 0.10685030370950699]",0.0971006453037262,725.5571842479985,0
4,4,20,2.2426167856778744e-05,27,18,4,"[0.3989523947238922, 0.27401870489120483, 0.24548296630382538, 0.22504614293575287, 0.20694665610790253, 0.19219963252544403, 0.17837925255298615, 0.16698645055294037, 0.15726473927497864, 0.1499243974685669, 0.1419987678527832, 0.13588665425777435, 0.13072267174720764, 0.12465405464172363, 0.11956620216369629, 0.11556977033615112, 0.11172300577163696, 0.10805521160364151]","[0.19583992660045624, 0.16372503340244293, 0.14910735189914703, 0.13737747073173523, 0.14364513754844666, 0.14905187487602234, 0.11679777503013611, 0.12231255322694778, 0.10695169121026993, 0.10957349836826324, 0.11105093359947205, 0.10858412086963654, 0.1269410252571106, 0.09468340128660202, 0.09782549738883972, 0.09022895991802216, 0.09921132773160934, 0.0897652804851532]",0.0897652804851532,1220.958222258836,0
5,5,21,1.1747419504741108e-05,59,18,2,"[0.5193057656288147, 0.3260997235774994, 0.30522623658180237, 0.2915928065776825, 0.27888667583465576, 0.2672581374645233, 0.2563730776309967, 0.24641750752925873, 0.23752479255199432, 0.2296704202890396, 0.22334925830364227, 0.21793533861637115, 0.21284666657447815, 0.20828214287757874, 0.20416127145290375, 0.200663760304451, 0.19695527851581573, 0.19347767531871796]","[0.21914924681186676, 0.20315077900886536, 0.1973596215248108, 0.18246251344680786, 0.17482739686965942, 0.16991503536701202, 0.16984376311302185, 0.16000819206237793, 0.1651918739080429, 0.15268895030021667, 0.14782385528087616, 0.14214976131916046, 0.13826507329940796, 0.136435404419899, 0.13687914609909058, 0.1396714746952057, 0.13593368232250214, 0.13103097677230835]",0.1310309767723083,1029.980362690054,0
3,3,22,2.8903035987078356e-05,16,8,0,"[0.29924798011779785, 0.20047752559185028, 0.16490387916564941, 0.14346453547477722, 0.12764646112918854, 0.11520352959632874, 0.10654503107070923, 0.09766751527786255]","[0.14594492316246033, 0.11609306931495667, 0.10532337427139282, 0.10271496325731277, 0.0930345356464386, 0.08600454032421112, 0.08337590098381042, 0.08190233260393143]",0.0819023326039314,619.2104662919883,0
3,3,23,8.890767736804006e-06,63,17,0,"[0.4985887110233307, 0.2919004559516907, 0.25832805037498474, 0.24142517149448395, 0.22914567589759827, 0.22095611691474915, 0.21278108656406403, 0.2061491310596466, 0.20046743750572205, 0.19565919041633606, 0.19064106047153473, 0.1862591803073883, 0.18216492235660553, 0.17818334698677063, 0.1748693287372589, 0.17103363573551178, 0.16806279122829437]","[0.23481066524982452, 0.17611882090568542, 0.16699156165122986, 0.17048509418964386, 0.15412932634353638, 0.14545537531375885, 0.14085425436496735, 0.13862618803977966, 0.1438453048467636, 0.13264471292495728, 0.1303662210702896, 0.13383051753044128, 0.12707111239433289, 0.127498060464859, 0.12105397880077362, 0.12562140822410583, 0.12099957466125488]",0.1209995746612548,1098.9096420165151,0
5,5,24,0.0058931712900586,29,16,0,"[1.4809216260910034, 1.000280737876892, 1.000494360923767, 1.0002195835113525, 1.0004057884216309, 1.0003676414489746, 1.0006440877914429, 1.0004658699035645, 1.0005462169647217, 1.0004971027374268, 1.000363826751709, 1.0005593299865723, 1.0005427598953247, 1.0005775690078735, 1.0005974769592285, 1.0005249977111816]","[0.7301389575004578, 0.7365003228187561, 0.7321632504463196, 0.7338957190513611, 0.7315818667411804, 0.7307701110839844, 0.7339631915092468, 0.7361534833908081, 0.7351162433624268, 0.7326157093048096, 0.7357074022293091, 0.7315623760223389, 0.7342073321342468, 0.7292098999023438, 0.7305554747581482, 0.732302188873291]",0.7292098999023438,1094.429688516073,0
4,4,25,0.0022395639603211,64,16,5,"[0.45153266191482544, 189.8962860107422, 1.000074028968811, 1.0000553131103516, 1.0000382661819458, 1.0000274181365967, 1.0000190734863281, 1.0000157356262207, 1.0000253915786743, 1.0000265836715698, 1.000024437904358, 1.0000364780426025, 1.000044345855713, 1.0000468492507935, 1.000043272972107, 1.0001051425933838]","[0.1061067283153534, 0.7322247624397278, 0.7321967482566833, 0.7321855425834656, 0.7322012186050415, 0.7322636246681213, 0.7322424054145813, 0.7322107553482056, 0.7322256565093994, 0.7321817874908447, 0.7325620055198669, 0.7326955199241638, 0.7320077419281006, 0.7326036095619202, 0.7336325645446777, 0.7329062223434448]",0.1061067283153534,1034.63405873999,0
